"PLAYER","Freq","TEAM","AGE","GP","W","L","MIN","OFFRTG","DEFRTG","Net Rating","AST.","AST.TO"," Assist Ratio","OREB.","DREB.","REB.","Turnover Ratio","Effective Field Goal","True Shooting","Usage","Pace","Player Impact Estimate"
"James Harden",7,"HOU",28,21,17,4,35.9,115.8,102.8,13,48.1,2.11,24.7,2,14.5,8.3,11.7,55.8,62.6,35.8,101.71,19.2
"Anthony Davis",6,"NOP",24,20,10,10,35,106.9,101.7,5.2,12.7,1.23,11,8.1,24.9,17,8.9,59.1,64.8,26.9,102.88,19.8
"DeMarcus Cousins",6,"NOP",27,21,11,10,35.5,104.4,105,-0.6,26,1.04,16.5,6.6,32.2,19.7,15.9,52,57.1,33.4,100.85,17.3
"Giannis Antetokounmpo",5,"MIL",22,18,9,9,37.3,107.6,104.3,3.3,22.9,1.51,14.1,6.1,25.7,16,9.4,57,61.7,33.3,97.89,20.7
"Kevin Durant",5,"GSW",29,17,12,5,34.6,116.7,102.9,13.8,20.2,1.33,16.9,2,17.9,10.7,12.7,59.9,63.8,28.2,104.46,15.1
"LeBron James",5,"CLE",32,21,14,7,37,112.8,110.5,2.3,41.4,2.03,24.6,4,20.6,12.6,12.1,63.1,65.7,30.4,99.83,20.4
"Stephen Curry",5,"GSW",29,20,15,5,32.6,117.5,100.5,17,27.8,2.08,21.2,2.2,14,8.6,10.2,56.4,63.7,30,107.37,16.3
"Ben Simmons",4,"PHI",21,19,11,8,35.4,105.4,101.5,3.9,31.9,1.99,25.2,7,20.5,14.1,12.7,51,52.8,25,104.64,15.9
"Joel Embiid",4,"PHI",23,18,11,7,29.6,107.1,99.6,7.4,19.6,0.81,12,9,29.8,19.8,14.8,51.5,57.3,34.1,102.71,18.3
"Kristaps Porzingis",4,"NYK",22,19,11,8,31.5,109.2,104.5,4.7,6.3,0.47,4.3,4.5,18.5,11.9,9.2,51.8,57.8,34.1,99.74,15
"Russell Westbrook",4,"OKC",29,20,8,12,35.3,104.7,99.4,5.2,45,2.01,26.1,4.4,24.8,14.2,13,45.7,50.6,32.2,100.9,17.3
"Andre Drummond",2,"DET",24,20,14,6,33.1,108.5,106.5,2,16.5,1.09,19,17.3,35.9,26.1,17.4,54.8,57.5,20.7,98.73,15.2
